algorithm,scenario_index,nDevices,nGateways,radius,simulationTime,appPeriod,payloadSize,pdr
ADR,0,100,1,7500,3600,60,10,0.7228173540439208
ADR,1,100,1,7500,3600,60,20,0.6515151515151515
ADR,2,100,1,7500,3600,60,30,0.6118855465884079
ADR,3,100,1,7500,3600,60,40,0.5453373442200258
ADR,4,100,1,7500,3600,60,50,0.45714285714285713
ADR,5,100,1,7500,3600,300,10,0.8433333333333334
ADR,6,100,1,7500,3600,300,20,0.8116666666666666
ADR,7,100,1,7500,3600,300,30,0.78
ADR,8,100,1,7500,3600,300,40,0.7575
ADR,9,100,1,7500,3600,300,50,0.7209090909090909
ADR,10,100,1,7500,3600,600,10,0.9116666666666666
ADR,11,100,1,7500,3600,600,20,0.8716666666666667
ADR,12,100,1,7500,3600,600,30,0.8566666666666667
ADR,13,100,1,7500,3600,600,40,0.8483333333333334
ADR,14,100,1,7500,3600,600,50,0.8266897746967071
ADR,15,100,1,7500,3600,900,10,0.9525
ADR,16,100,1,7500,3600,900,20,0.94
ADR,17,100,1,7500,3600,900,30,0.925
ADR,18,100,1,7500,3600,900,40,0.895
ADR,19,100,1,7500,3600,900,50,0.88
ADR,20,200,1,7500,3600,60,10,0.4383054362316694
ADR,21,200,1,7500,3600,60,20,0.34919177075679647
ADR,22,200,1,7500,3600,60,30,0.2636962946124119
ADR,23,200,1,7500,3600,60,40,0.19889211289897124
ADR,24,200,1,7500,3600,60,50,0.15139442231075698
ADR,25,200,1,7500,3600,300,10,0.7216666666666667
ADR,26,200,1,7500,3600,300,20,0.68125
ADR,27,200,1,7500,3600,300,30,0.6329166666666667
ADR,28,200,1,7500,3600,300,40,0.59875
ADR,29,200,1,7500,3600,300,50,0.5303697183098591
ADR,30,200,1,7500,3600,600,10,0.8075
ADR,31,200,1,7500,3600,600,20,0.7808333333333334
ADR,32,200,1,7500,3600,600,30,0.7358333333333333
ADR,33,200,1,7500,3600,600,40,0.7116666666666667
ADR,34,200,1,7500,3600,600,50,0.6876061120543294
ADR,35,200,1,7500,3600,900,10,0.8475
ADR,36,200,1,7500,3600,900,20,0.8275
ADR,37,200,1,7500,3600,900,30,0.8025
ADR,38,200,1,7500,3600,900,40,0.78875
ADR,39,200,1,7500,3600,900,50,0.76
