algorithm,scenario_index,nDevices,nGateways,radius,simulationTime,appPeriod,payloadSize,best_solution,mean_solution,worst_solution,std_solution,mean_time
GA,0,100,1,7500,3600,60,10,0.993382639159206,0.9900712601845556,0.985342974399062,0.0033315700289179,8696.720127916336
GA,1,100,1,7500,3600,60,20,0.9903866248693834,0.9869316399674696,0.9834900731452456,0.0021896261542118,8353.989280986785
GA,2,100,1,7500,3600,60,30,0.9884506428415776,0.9829057077658988,0.978675645342312,0.0032921829763419,8110.14411869049
GA,3,100,1,7500,3600,60,40,0.984817115251898,0.9778427380488054,0.9711776626885836,0.0043568055779182,7952.071948909759
GA,4,100,1,7500,3600,60,50,0.982707622298066,0.9743081771869524,0.9669441141498216,0.0051185694950112,7661.518374967575
GA,5,100,1,7500,3600,300,10,1.0,1.0,1.0,0.0,4317.798417711258
GA,6,100,1,7500,3600,300,20,1.0,1.0,1.0,0.0,4316.948620319367
GA,7,100,1,7500,3600,300,30,1.0,1.0,1.0,0.0,4317.320513629913
GA,8,100,1,7500,3600,300,40,1.0,1.0,1.0,0.0,4316.402412986756
GA,9,100,1,7500,3600,300,50,1.0,1.0,1.0,0.0,4317.728270864487
GA,10,100,1,7500,3600,600,10,1.0,1.0,1.0,0.0,3726.4089814186095
GA,11,100,1,7500,3600,600,20,1.0,1.0,1.0,0.0,3726.815689659119
GA,12,100,1,7500,3600,600,30,1.0,1.0,1.0,0.0,3725.957429361343
GA,13,100,1,7500,3600,600,40,1.0,1.0,1.0,0.0,3726.3282371521
GA,14,100,1,7500,3600,600,50,1.0,1.0,1.0,0.0,3727.029465436936
GA,15,100,1,7500,3600,900,10,1.0,1.0,1.0,0.0,3536.4421223640443
GA,16,100,1,7500,3600,900,20,1.0,1.0,1.0,0.0,3534.711087226868
GA,17,100,1,7500,3600,900,30,1.0,1.0,1.0,0.0,3536.280998754501
GA,18,100,1,7500,3600,900,40,1.0,1.0,1.0,0.0,3535.7693764686583
GA,19,100,1,7500,3600,900,50,1.0,1.0,1.0,0.0,3536.816485786438
GA,20,200,1,7500,3600,60,10,0.9314055144586416,0.9199227711508275,0.9120220190700876,0.0064397433971095,24181.68580269813
GA,21,200,1,7500,3600,60,20,0.9201735795741244,0.9139435214541684,0.9105483508628612,0.0035001692910928,22982.95304698944
GA,22,200,1,7500,3600,60,30,0.92085493598561,0.9003007714666795,0.8918515358361775,0.010518390132998,22241.6124024868
GA,23,200,1,7500,3600,60,40,0.9002537791018427,0.8905729170715144,0.8826210826210826,0.006858974546834,21517.358421659468
GA,24,200,1,7500,3600,60,50,0.8860506180105945,0.8778622579968005,0.8617045454545454,0.0084354914935133,20675.82567281723
GA,25,200,1,7500,3600,300,10,0.9891666666666666,0.9818333333333332,0.9783333333333334,0.0038604116073001,7707.7018207550045
GA,26,200,1,7500,3600,300,20,0.9841666666666666,0.9774166666666666,0.9683333333333334,0.0052466920795657,7703.2592464447025
GA,27,200,1,7500,3600,300,30,0.98625,0.9769166666666668,0.9716666666666668,0.0051275400209717,7696.949625492096
GA,28,200,1,7500,3600,300,40,0.9716666666666668,0.96775,0.965,0.0026034165586355,7681.128962659835
GA,29,200,1,7500,3600,300,50,0.97,0.9641666666666666,0.9575,0.0044953679864203,7679.319277000427
GA,30,200,1,7500,3600,600,10,0.9933333333333332,0.9888333333333332,0.9791666666666666,0.0050717080182343,5401.910680770874
GA,31,200,1,7500,3600,600,20,0.99,0.9878333333333332,0.9858333333333332,0.0013540064007726,5401.868641519546
GA,32,200,1,7500,3600,600,30,0.9916666666666668,0.9881666666666667,0.985,0.0021343747458109,5397.913588380814
GA,33,200,1,7500,3600,600,40,0.9925,0.9858333333333336,0.9808333333333332,0.0045030853620354,5399.737642288208
GA,34,200,1,7500,3600,600,50,0.9916666666666668,0.9853333333333334,0.9775,0.0049046463231873,5400.975331830979
GA,35,200,1,7500,3600,900,10,0.995,0.9905000000000002,0.985,0.0039999999999999,4646.12376651764
