algorithm,nDevices,mean_value,mean_time
ADR,100,0.7904815226224747,
ADR,200,0.6158061266920731,
ADR,300,0.508064455750253,
ADR,400,0.4307625854833942,
ADR,500,0.38711937827688364,
CS,100,0.8020744760110896,6438.304407525063
CS,200,0.7486006463303665,12798.189804487229
CS,300,0.7094885008686723,21868.357927155495
CS,400,0.6943591073953579,32373.505143601895
CS,500,0.6753099687229328,40897.26283360004
DE,100,0.9167104737817453,4739.805410721302
DE,200,0.8203381651657498,9272.72721772909
DE,300,0.762522971034861,17397.86259741545
DE,400,0.7301403587313169,29526.22934191227
DE,500,0.7039427174544911,45855.139492497445
GA,100,0.9956029761576841,4933.6600980305675
GA,200,0.9626092786236662,10015.069646816253
GA,300,0.9080212178811797,18938.02533424139
GA,400,0.87185577270038,32235.609492053987
GA,500,0.8384692220164967,49925.32526513577
PSO,100,0.8987116463091249,5084.682420005798
PSO,200,0.8130644695703951,10366.301620411872
PSO,300,0.7646996882363443,19691.016407015322
PSO,400,0.7458902893057258,32273.95960673332
PSO,500,0.720583852595717,43319.73716456413
SHADE,100,0.9553152690659943,4951.0504893469815
SHADE,200,0.8631018508425411,10044.935122842788
SHADE,300,0.8073057830235927,19173.34366890192
SHADE,400,0.7797818884203161,33027.03195177078
SHADE,500,0.7524784959619878,48395.64600601673
