algorithm,nDevices,nGateways,radius,simulationTime,appPeriod,payloadSize
GA,100,1,7500,3600,60,10
GA,100,1,7500,3600,60,20
GA,100,1,7500,3600,60,30
GA,100,1,7500,3600,60,40
GA,100,1,7500,3600,60,50
GA,100,1,7500,3600,300,10
GA,100,1,7500,3600,300,20
GA,100,1,7500,3600,300,30
GA,100,1,7500,3600,300,40
GA,100,1,7500,3600,300,50
GA,100,1,7500,3600,600,10
GA,100,1,7500,3600,600,20
GA,100,1,7500,3600,600,30
GA,100,1,7500,3600,600,40
GA,100,1,7500,3600,600,50
GA,100,1,7500,3600,900,10
GA,100,1,7500,3600,900,20
GA,100,1,7500,3600,900,30
GA,100,1,7500,3600,900,40
GA,100,1,7500,3600,900,50
GA,200,1,7500,3600,60,10
GA,200,1,7500,3600,60,20
GA,200,1,7500,3600,60,30
GA,200,1,7500,3600,60,40
GA,200,1,7500,3600,60,50
GA,200,1,7500,3600,300,10
GA,200,1,7500,3600,300,20
GA,200,1,7500,3600,300,30
GA,200,1,7500,3600,300,40
GA,200,1,7500,3600,300,50
GA,200,1,7500,3600,600,10
GA,200,1,7500,3600,600,20
GA,200,1,7500,3600,600,30
GA,200,1,7500,3600,600,40
GA,200,1,7500,3600,600,50
GA,200,1,7500,3600,900,10
GA,200,1,7500,3600,900,20
GA,200,1,7500,3600,900,30
GA,200,1,7500,3600,900,40
GA,200,1,7500,3600,900,50
GA,300,1,7500,3600,60,10
GA,300,1,7500,3600,60,20
GA,300,1,7500,3600,60,30
GA,300,1,7500,3600,60,40
GA,300,1,7500,3600,60,50
GA,300,1,7500,3600,300,10
GA,300,1,7500,3600,300,20
GA,300,1,7500,3600,300,30
GA,300,1,7500,3600,300,40
GA,300,1,7500,3600,300,50
GA,300,1,7500,3600,600,10
GA,300,1,7500,3600,600,20
GA,300,1,7500,3600,600,30
GA,300,1,7500,3600,600,40
GA,300,1,7500,3600,600,50
GA,300,1,7500,3600,900,10
GA,300,1,7500,3600,900,20
GA,300,1,7500,3600,900,30
GA,300,1,7500,3600,900,40
GA,300,1,7500,3600,900,50
GA,400,1,7500,3600,60,10
GA,400,1,7500,3600,60,20
GA,400,1,7500,3600,60,30
GA,400,1,7500,3600,60,40
GA,400,1,7500,3600,60,50
GA,400,1,7500,3600,300,10
GA,400,1,7500,3600,300,20
GA,400,1,7500,3600,300,30
GA,400,1,7500,3600,300,40
GA,400,1,7500,3600,300,50
GA,400,1,7500,3600,600,10
GA,400,1,7500,3600,600,20
GA,400,1,7500,3600,600,30
GA,400,1,7500,3600,600,40
GA,400,1,7500,3600,600,50
GA,400,1,7500,3600,900,10
GA,400,1,7500,3600,900,20
GA,400,1,7500,3600,900,30
GA,400,1,7500,3600,900,40
GA,400,1,7500,3600,900,50
GA,500,1,7500,3600,60,10
GA,500,1,7500,3600,60,20
GA,500,1,7500,3600,60,30
GA,500,1,7500,3600,60,40
GA,500,1,7500,3600,60,50
GA,500,1,7500,3600,300,10
GA,500,1,7500,3600,300,20
GA,500,1,7500,3600,300,30
GA,500,1,7500,3600,300,40
GA,500,1,7500,3600,300,50
GA,500,1,7500,3600,600,10
GA,500,1,7500,3600,600,20
GA,500,1,7500,3600,600,30
GA,500,1,7500,3600,600,40
GA,500,1,7500,3600,600,50
GA,500,1,7500,3600,900,10
GA,500,1,7500,3600,900,20
GA,500,1,7500,3600,900,30
GA,500,1,7500,3600,900,40
GA,500,1,7500,3600,900,50
DE,100,1,7500,3600,60,10
DE,100,1,7500,3600,60,20
DE,100,1,7500,3600,60,30
DE,100,1,7500,3600,60,40
DE,100,1,7500,3600,60,50
DE,100,1,7500,3600,300,10
DE,100,1,7500,3600,300,20
DE,100,1,7500,3600,300,30
DE,100,1,7500,3600,300,40
DE,100,1,7500,3600,300,50
DE,100,1,7500,3600,600,10
DE,100,1,7500,3600,600,20
DE,100,1,7500,3600,600,30
DE,100,1,7500,3600,600,40
DE,100,1,7500,3600,600,50
DE,100,1,7500,3600,900,10
DE,100,1,7500,3600,900,20
DE,100,1,7500,3600,900,30
DE,100,1,7500,3600,900,40
DE,100,1,7500,3600,900,50
DE,200,1,7500,3600,60,10
DE,200,1,7500,3600,60,20
DE,200,1,7500,3600,60,30
DE,200,1,7500,3600,60,40
DE,200,1,7500,3600,60,50
DE,200,1,7500,3600,300,10
DE,200,1,7500,3600,300,20
DE,200,1,7500,3600,300,30
DE,200,1,7500,3600,300,40
DE,200,1,7500,3600,300,50
DE,200,1,7500,3600,600,10
DE,200,1,7500,3600,600,20
DE,200,1,7500,3600,600,30
DE,200,1,7500,3600,600,40
DE,200,1,7500,3600,600,50
DE,200,1,7500,3600,900,10
DE,200,1,7500,3600,900,20
DE,200,1,7500,3600,900,30
DE,200,1,7500,3600,900,40
DE,200,1,7500,3600,900,50
DE,300,1,7500,3600,60,10
DE,300,1,7500,3600,60,20
DE,300,1,7500,3600,60,30
DE,300,1,7500,3600,60,40
DE,300,1,7500,3600,60,50
DE,300,1,7500,3600,300,10
DE,300,1,7500,3600,300,20
DE,300,1,7500,3600,300,30
DE,300,1,7500,3600,300,40
DE,300,1,7500,3600,300,50
DE,300,1,7500,3600,600,10
DE,300,1,7500,3600,600,20
DE,300,1,7500,3600,600,30
DE,300,1,7500,3600,600,40
DE,300,1,7500,3600,600,50
DE,300,1,7500,3600,900,10
DE,300,1,7500,3600,900,20
DE,300,1,7500,3600,900,30
DE,300,1,7500,3600,900,40
DE,300,1,7500,3600,900,50
DE,400,1,7500,3600,60,10
DE,400,1,7500,3600,60,20
DE,400,1,7500,3600,60,30
DE,400,1,7500,3600,60,40
DE,400,1,7500,3600,60,50
DE,400,1,7500,3600,300,10
DE,400,1,7500,3600,300,20
DE,400,1,7500,3600,300,30
DE,400,1,7500,3600,300,40
DE,400,1,7500,3600,300,50
DE,400,1,7500,3600,600,10
DE,400,1,7500,3600,600,20
DE,400,1,7500,3600,600,30
DE,400,1,7500,3600,600,40
DE,400,1,7500,3600,600,50
DE,400,1,7500,3600,900,10
DE,400,1,7500,3600,900,20
DE,400,1,7500,3600,900,30
DE,400,1,7500,3600,900,40
DE,400,1,7500,3600,900,50
DE,500,1,7500,3600,60,10
DE,500,1,7500,3600,60,20
DE,500,1,7500,3600,60,30
DE,500,1,7500,3600,60,40
DE,500,1,7500,3600,60,50
DE,500,1,7500,3600,300,10
DE,500,1,7500,3600,300,20
DE,500,1,7500,3600,300,30
DE,500,1,7500,3600,300,40
DE,500,1,7500,3600,300,50
DE,500,1,7500,3600,600,10
DE,500,1,7500,3600,600,20
DE,500,1,7500,3600,600,30
DE,500,1,7500,3600,600,40
DE,500,1,7500,3600,600,50
DE,500,1,7500,3600,900,10
DE,500,1,7500,3600,900,20
DE,500,1,7500,3600,900,30
DE,500,1,7500,3600,900,40
DE,500,1,7500,3600,900,50
SHADE,100,1,7500,3600,60,10
SHADE,100,1,7500,3600,60,20
SHADE,100,1,7500,3600,60,30
SHADE,100,1,7500,3600,60,40
SHADE,100,1,7500,3600,60,50
SHADE,100,1,7500,3600,300,10
SHADE,100,1,7500,3600,300,20
SHADE,100,1,7500,3600,300,30
SHADE,100,1,7500,3600,300,40
SHADE,100,1,7500,3600,300,50
SHADE,100,1,7500,3600,600,10
SHADE,100,1,7500,3600,600,20
SHADE,100,1,7500,3600,600,30
SHADE,100,1,7500,3600,600,40
SHADE,100,1,7500,3600,600,50
SHADE,100,1,7500,3600,900,10
SHADE,100,1,7500,3600,900,20
